instagram_comments,offensive_language,offensiveness_levels,antisemitism,apology_for_the_dictatorship,fatphobia,homophobia,partyism,racism,religious_intolerance,sexism,xenophobia,offensive_&_non-hate_speech,non-offensive,specialist_1_hate_speech,specialist_2_hate_speech,specialist_3_hate_speech
este lixo ...,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Comunista safada...,True,2,False,False,False,False,True,False,False,True,False,False,False,False,False,False
Comunista lixo!,True,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Esquerdista.,True,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Oportunista essa corrupta.Agora todos os Comunistas querem se fazer de vítimas.,True,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Plano da esquerda foi é e será sempre críticar não nunca teve um plano de governo único plano era como roubar .,True,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False
O problema dela é que a tetinha secou,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
É uma cara de pau mesmo... 😡,True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Joga uma carteira de trabalho que correm todos, na verdade não gostam de trabalhar só sabem roubar o brasil",True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
BACHELETA DA TRETA E MUTRETA CHILENA..CANALHA SAPATONA.. BICHELETA..,True,3,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Noventa comunista,True,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Óleo de peroba pra lustrar a cara de pau!,True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Aí a ganância falou mais alto... corrupta!,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Devolve o dinheiro roubado via OAS...,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Isso não passa de uma mera oportunista! #michelebachelet #oas não passa de uma múmia esquerdista ainda em atividade minha querida @carla.zambelli . Obrigado pelas informações de sempre 🇧🇷💙,True,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Q mulher ordinária,True,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Vagabunda,True,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Deve ter pena dela quando descobrir os podre dela essa imoral,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Horrorosa vaca suja,True,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Hipocrisia esquerdopata oportunista,True,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Falsa!!!! Que nem nota de $30!!!!🤪🤪🤪,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Safada sem vergonha ! Velha asquerosa !🤮,True,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Safada🤢🤢🤢,True,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Pois é deveria ter pena da própria ignorância.,True,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Mulherzinha cara de pau🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮,True,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False
"Vá ter pena da puta que a pariu, corrupta",True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Porque Bachelet faz parte da esquerda Hipócrita da América latina. Pergunte se ela tem pena de Cuba, Nicarágua ou da Venezuela. #MicheleBacheletHipócrita",True,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Sua TONTA SAFADA,True,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False
🤣 Comunista...,True,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Senhora Michele Bachelet!,True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Demagoga se locupletando com dinheiro de propina,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Fdp,True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Bandidona e pilantrona o leitinho acabou,True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Outra pilantra!,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Essa senhora é uma currupta igual seus amiguinhos do PT.,True,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Terrorista FDP,True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False
LADRA,True,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Quem quer saber oq vc pensa comunista corrupta vc deveria estar na cadeia !,True,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False
